,state,participation_act_17,english_act,math_act,reading,science,composite_act_17,participation_sat_17,english_sat_17,math_sat_17,total_sat_17,participation_act_18,composite_act_18,participation_sat_18,english_sat_18,math_sat_18,total_sat_18,participation_act_19,composite_act_19,participation_sat_19,english_sat_19,math_sat_19,total_sat_19
0,Alabama,1.0,18.9,18.4,19.7,19.4,19.2,0.05,593,572,1165,1.0,19.1,0.06,595.0,571.0,1166.0,1.0,18.9,0.07,583,560,1143
1,Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.38,547,533,1080,0.33,20.8,0.43,562.0,544.0,1106.0,0.38,20.1,0.41,556,541,1097
2,Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.3,563,553,1116,0.66,19.2,0.29,577.0,572.0,1149.0,0.73,19.0,0.31,569,565,1134
3,Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,0.03,614,594,1208,1.0,19.4,0.05,592.0,576.0,1169.0,1.0,19.3,0.06,582,559,1141
4,California,0.31,22.5,22.7,23.1,22.2,22.8,0.53,531,524,1055,0.27,22.7,0.6,540.0,536.0,1076.0,0.23,22.6,0.63,534,531,1065
5,Colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.11,606,595,1201,0.3,23.9,1.0,519.0,506.0,1025.0,0.27,23.8,1.0,518,506,1024
6,Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,1.0,530,512,1041,0.26,25.6,1.0,535.0,519.0,1053.0,0.22,25.5,1.0,529,516,1046
7,Delaware,0.18,24.1,23.4,24.8,23.6,24.1,1.0,503,492,996,0.17,23.8,1.0,505.0,492.0,998.0,0.13,24.1,1.0,499,486,985
8,Florida,0.73,19.0,19.4,21.0,19.4,19.8,0.83,520,497,1017,0.66,19.9,0.97,550.0,549.0,1099.0,0.54,20.1,1.0,516,483,999
9,Georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.61,535,515,1050,0.53,21.4,0.7,542.0,522.0,1064.0,0.49,21.4,0.71,538,519,1058
10,Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.55,544,541,1085,0.89,18.9,0.56,480.0,530.0,1010.0,0.8,19.0,0.54,550,550,1100
11,Idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.93,513,493,1005,0.36,22.3,1.0,508.0,493.0,1001.0,0.31,22.5,1.0,505,488,993
12,Illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.09,559,556,1115,0.43,23.9,0.99,513.0,506.0,1019.0,0.35,24.3,1.0,509,504,1013
13,Indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.63,542,532,1074,0.32,22.5,0.63,542.0,532.0,1074.0,0.29,22.5,0.66,543,537,1080
